 t              planeWave_Unnamed_point_outRq_Ey_50_50_50.dat       incid
     0.44679330812869E-006    -0.62912327791764E-007     0.00000000000000E+000
     0.45064498976899E-006    -0.72763072012094E-007     0.00000000000000E+000
     0.45449664298758E-006    -0.71230211062812E-007     0.00000000000000E+000
     0.45834832462788E-006    -0.48507835970213E-007     0.00000000000000E+000
     0.46219997784647E-006    -0.11100208752168E-007     0.00000000000000E+000
     0.46605165948677E-006     0.24355259142794E-007     0.00000000000000E+000
     0.46990331270536E-006     0.38635484145289E-007     0.00000000000000E+000
     0.47375499434565E-006     0.33190108439385E-007     0.00000000000000E+000
     0.47760664756424E-006     0.35017475141785E-007     0.00000000000000E+000
     0.48145830078283E-006     0.51953698232410E-007     0.00000000000000E+000
     0.48531001084484E-006     0.57219978089051E-007     0.00000000000000E+000
     0.48916166406343E-006     0.45212640742420E-007     0.00000000000000E+000
     0.49301331728202E-006     0.44787462627482E-007     0.00000000000000E+000
     0.49686497050061E-006     0.55534862042350E-007     0.00000000000000E+000
     0.50071662371920E-006     0.44694662193479E-007     0.00000000000000E+000
     0.50456833378121E-006     0.19364845726955E-007     0.00000000000000E+000
     0.50841998699980E-006     0.19273603157899E-007     0.00000000000000E+000
     0.51227164021839E-006     0.39680010388565E-007     0.00000000000000E+000
     0.51612329343698E-006     0.40702389014768E-007     0.00000000000000E+000
     0.51997500349898E-006     0.18223358821956E-007     0.00000000000000E+000
     0.52382665671757E-006     0.23571455898264E-008     0.00000000000000E+000
     0.52767830993616E-006     0.76159514250662E-008     0.00000000000000E+000
     0.53152996315475E-006     0.23416319550051E-007     0.00000000000000E+000
     0.53538167321676E-006     0.32295563556772E-007     0.00000000000000E+000
     0.53923332643535E-006     0.25968832417789E-007     0.00000000000000E+000
     0.54308497965394E-006     0.15442516598796E-007     0.00000000000000E+000
     0.54693663287253E-006     0.11529237120556E-007     0.00000000000000E+000
     0.55078834293454E-006     0.26765123450900E-008     0.00000000000000E+000
     0.55463999615313E-006    -0.13476538107682E-007     0.00000000000000E+000
     0.55849164937172E-006    -0.83400859551830E-008     0.00000000000000E+000
     0.56234330259031E-006     0.20132931766170E-007     0.00000000000000E+000
     0.56619495580890E-006     0.22708313451858E-007     0.00000000000000E+000
     0.57004666587090E-006    -0.15590963187151E-007     0.00000000000000E+000
     0.57389831908949E-006    -0.36986222085034E-007     0.00000000000000E+000
     0.57774997230808E-006    -0.88533518294298E-008     0.00000000000000E+000
     0.58160162552667E-006     0.20605344985825E-007     0.00000000000000E+000
     0.58545333558868E-006     0.99958654686816E-008     0.00000000000000E+000
     0.58930498880727E-006    -0.12489126177684E-007     0.00000000000000E+000
     0.59315664202586E-006    -0.12973250029802E-007     0.00000000000000E+000
     0.59700829524445E-006    -0.55190136905026E-008     0.00000000000000E+000
     0.60086000530646E-006    -0.79676345521307E-008     0.00000000000000E+000
     0.60471165852505E-006    -0.67302865502938E-008     0.00000000000000E+000
